name_model,classifier,run,accuracy,sensitivity,specificity,precision,recall,f1,kappa
top5_DecisionTreeClassifier_voting_models_17,DecisionTreeClassifier,17,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
top5_DecisionTreeClassifier_voting_models_18,DecisionTreeClassifier,18,0.7954545454545454,0.782608695652174,0.8095238095238095,0.8181818181818182,0.782608695652174,0.8,0.5909090909090908
top5_DecisionTreeClassifier_voting_models_19,DecisionTreeClassifier,19,0.8409090909090909,0.9130434782608695,0.7619047619047619,0.8076923076923077,0.9130434782608695,0.8571428571428572,0.6791666666666667
top5_DecisionTreeClassifier_voting_models_20,DecisionTreeClassifier,20,0.7272727272727273,0.9130434782608695,0.5238095238095238,0.6774193548387096,0.9130434782608695,0.7777777777777777,0.44421052631578956
top5_MLPClassifier_voting_models_1,MLPClassifier,1,0.8863636363636364,0.8695652173913043,0.9047619047619048,0.9090909090909091,0.8695652173913043,0.888888888888889,0.7727272727272727
top5_MLPClassifier_voting_models_2,MLPClassifier,2,0.8409090909090909,0.782608695652174,0.9047619047619048,0.9,0.782608695652174,0.8372093023255814,0.683127572016461
top5_MLPClassifier_voting_models_3,MLPClassifier,3,0.7954545454545454,0.782608695652174,0.8095238095238095,0.8181818181818182,0.782608695652174,0.8,0.5909090909090908
top5_MLPClassifier_voting_models_4,MLPClassifier,4,0.8863636363636364,0.9130434782608695,0.8571428571428571,0.875,0.9130434782608695,0.8936170212765957,0.7717842323651453
top5_MLPClassifier_voting_models_5,MLPClassifier,5,0.9318181818181818,0.8695652173913043,1.0,1.0,0.8695652173913043,0.9302325581395349,0.8641975308641975
top5_MLPClassifier_voting_models_6,MLPClassifier,6,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
top5_MLPClassifier_voting_models_7,MLPClassifier,7,0.8409090909090909,0.8695652173913043,0.8095238095238095,0.8333333333333334,0.8695652173913043,0.851063829787234,0.6804979253112035
top5_MLPClassifier_voting_models_8,MLPClassifier,8,0.8181818181818182,0.8695652173913043,0.7619047619047619,0.8,0.8695652173913043,0.8333333333333333,0.6340956340956342
top5_MLPClassifier_voting_models_9,MLPClassifier,9,0.8409090909090909,0.9130434782608695,0.7619047619047619,0.8076923076923077,0.9130434782608695,0.8571428571428572,0.6791666666666667
top5_MLPClassifier_voting_models_10,MLPClassifier,10,0.7954545454545454,0.6521739130434783,0.9523809523809523,0.9375,0.6521739130434783,0.7692307692307693,0.5959183673469387
top5_MLPClassifier_voting_models_11,MLPClassifier,11,0.8181818181818182,0.7391304347826086,0.9047619047619048,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.6386036960985627
top5_MLPClassifier_voting_models_12,MLPClassifier,12,0.8863636363636364,0.9130434782608695,0.8571428571428571,0.875,0.9130434782608695,0.8936170212765957,0.7717842323651453
top5_MLPClassifier_voting_models_13,MLPClassifier,13,0.9318181818181818,0.9565217391304348,0.9047619047619048,0.9166666666666666,0.9565217391304348,0.9361702127659574,0.8630705394190871
