name_model,classifier,run,accuracy,sensitivity,specificity,precision,recall,f1,kappa
single_LogisticRegression_task_specific_run6,LogisticRegression,6,0.75,0.7391304347826086,0.7619047619047619,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.5
single_KNeighborsClassifier_task_specific_run6,KNeighborsClassifier,6,0.8409090909090909,0.6956521739130435,1.0,1.0,0.6956521739130435,0.8205128205128205,0.6857142857142858
single_LinearDiscriminantAnalysis_task_specific_run6,LinearDiscriminantAnalysis,6,0.8409090909090909,0.6956521739130435,1.0,1.0,0.6956521739130435,0.8205128205128205,0.6857142857142858
single_GaussianNB_task_specific_run6,GaussianNB,6,0.7727272727272727,0.6086956521739131,0.9523809523809523,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.5519348268839104
single_SVC_task_specific_run6,SVC,6,0.8181818181818182,0.6521739130434783,1.0,1.0,0.6521739130434783,0.7894736842105263,0.6415478615071284
single_DecisionTreeClassifier_task_specific_run6,DecisionTreeClassifier,6,0.8636363636363636,0.7391304347826086,1.0,1.0,0.7391304347826086,0.85,0.7300613496932515
single_MLPClassifier_task_specific_run6,MLPClassifier,6,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
single_ExtraTreesClassifier_task_specific_run6,ExtraTreesClassifier,6,0.8181818181818182,0.7391304347826086,0.9047619047619048,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.6386036960985627
single_AdaBoostClassifier_task_specific_run6,AdaBoostClassifier,6,0.8863636363636364,0.8260869565217391,0.9523809523809523,0.95,0.8260869565217391,0.8837209302325583,0.7736625514403292
single_GradientBoostingClassifier_task_specific_run6,GradientBoostingClassifier,6,0.8409090909090909,0.782608695652174,0.9047619047619048,0.9,0.782608695652174,0.8372093023255814,0.683127572016461
single_XGBClassifier_task_specific_run6,XGBClassifier,6,0.8181818181818182,0.8260869565217391,0.8095238095238095,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.6356107660455488
single_RandomForestClassifier_task_specific_run7,RandomForestClassifier,7,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
single_LogisticRegression_task_specific_run7,LogisticRegression,7,0.7954545454545454,0.8260869565217391,0.7619047619047619,0.7916666666666666,0.8260869565217391,0.8085106382978724,0.5892116182572614
single_KNeighborsClassifier_task_specific_run7,KNeighborsClassifier,7,0.8636363636363636,0.7391304347826086,1.0,1.0,0.7391304347826086,0.85,0.7300613496932515
single_LinearDiscriminantAnalysis_task_specific_run7,LinearDiscriminantAnalysis,7,0.8181818181818182,0.7391304347826086,0.9047619047619048,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.6386036960985627
single_GaussianNB_task_specific_run7,GaussianNB,7,0.75,0.5652173913043478,0.9523809523809523,0.9285714285714286,0.5652173913043478,0.7027027027027025,0.5081300813008129
single_SVC_task_specific_run7,SVC,7,0.75,0.6086956521739131,0.9047619047619048,0.875,0.6086956521739131,0.717948717948718,0.5061224489795919
single_DecisionTreeClassifier_task_specific_run7,DecisionTreeClassifier,7,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8571428571428571,0.782608695652174,0.8181818181818182,0.6371134020618558
single_MLPClassifier_task_specific_run7,MLPClassifier,7,0.8636363636363636,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.7278350515463918
single_ExtraTreesClassifier_task_specific_run7,ExtraTreesClassifier,7,0.9090909090909091,0.9130434782608695,0.9047619047619048,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8178053830227743
single_AdaBoostClassifier_task_specific_run7,AdaBoostClassifier,7,0.9545454545454546,0.9565217391304348,0.9523809523809523,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9089026915113873
single_GradientBoostingClassifier_task_specific_run7,GradientBoostingClassifier,7,0.8636363636363636,0.9130434782608695,0.8095238095238095,0.84,0.9130434782608695,0.8749999999999999,0.7255717255717256
single_XGBClassifier_task_specific_run7,XGBClassifier,7,0.8863636363636364,0.9565217391304348,0.8095238095238095,0.8461538461538461,0.9565217391304348,0.8979591836734695,0.7708333333333334
single_RandomForestClassifier_task_specific_run8,RandomForestClassifier,8,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8571428571428571,0.782608695652174,0.8181818181818182,0.6371134020618558
single_LogisticRegression_task_specific_run8,LogisticRegression,8,0.7045454545454546,0.6086956521739131,0.8095238095238095,0.7777777777777778,0.6086956521739131,0.6829268292682927,0.41393442622950827
single_KNeighborsClassifier_task_specific_run8,KNeighborsClassifier,8,0.7272727272727273,0.5217391304347826,0.9523809523809523,0.9230769230769231,0.5217391304347826,0.6666666666666667,0.46450304259634884
single_LinearDiscriminantAnalysis_task_specific_run8,LinearDiscriminantAnalysis,8,0.7727272727272727,0.6086956521739131,0.9523809523809523,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.5519348268839104
single_GaussianNB_task_specific_run8,GaussianNB,8,0.7727272727272727,0.5652173913043478,1.0,1.0,0.5652173913043478,0.7222222222222222,0.5537525354969574
single_SVC_task_specific_run8,SVC,8,0.7727272727272727,0.6086956521739131,0.9523809523809523,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.5519348268839104
single_DecisionTreeClassifier_task_specific_run8,DecisionTreeClassifier,8,0.7954545454545454,0.6956521739130435,0.9047619047619048,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.5942622950819672
single_MLPClassifier_task_specific_run8,MLPClassifier,8,0.8181818181818182,0.7391304347826086,0.9047619047619048,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.6386036960985627
single_ExtraTreesClassifier_task_specific_run8,ExtraTreesClassifier,8,0.8181818181818182,0.7391304347826086,0.9047619047619048,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.6386036960985627
single_AdaBoostClassifier_task_specific_run8,AdaBoostClassifier,8,0.7954545454545454,0.6956521739130435,0.9047619047619048,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.5942622950819672
single_GradientBoostingClassifier_task_specific_run8,GradientBoostingClassifier,8,0.75,0.7391304347826086,0.7619047619047619,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.5
