name_model,run,accuracy,sensitivity,specificity,precision,recall,f1,kappa
top3_classifiers_voting_models_1,1,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
top3_classifiers_voting_models_2,2,0.8863636363636364,0.8695652173913043,0.9047619047619048,0.9090909090909091,0.8695652173913043,0.888888888888889,0.7727272727272727
top3_classifiers_voting_models_3,3,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
top3_classifiers_voting_models_4,4,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
top3_classifiers_voting_models_5,5,0.9772727272727273,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9777777777777777,0.9545454545454546
top3_classifiers_voting_models_6,6,0.9090909090909091,0.8695652173913043,0.9523809523809523,0.9523809523809523,0.8695652173913043,0.909090909090909,0.8185567010309279
top3_classifiers_voting_models_7,7,0.8409090909090909,0.9565217391304348,0.7142857142857143,0.7857142857142857,0.9565217391304348,0.8627450980392156,0.6778242677824268
top3_classifiers_voting_models_8,8,0.9090909090909091,0.9130434782608695,0.9047619047619048,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8178053830227743
top3_classifiers_voting_models_9,9,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
top3_classifiers_voting_models_10,10,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6844262295081968
top3_classifiers_voting_models_11,11,0.8863636363636364,0.8260869565217391,0.9523809523809523,0.95,0.8260869565217391,0.8837209302325583,0.7736625514403292
top3_classifiers_voting_models_12,12,0.9090909090909091,0.9130434782608695,0.9047619047619048,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8178053830227743
top3_classifiers_voting_models_13,13,0.9090909090909091,0.8695652173913043,0.9523809523809523,0.9523809523809523,0.8695652173913043,0.909090909090909,0.8185567010309279
top3_classifiers_voting_models_14,14,0.9090909090909091,0.9130434782608695,0.9047619047619048,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8178053830227743
top3_classifiers_voting_models_15,15,0.9545454545454546,0.9565217391304348,0.9523809523809523,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9089026915113873
top3_classifiers_voting_models_16,16,0.8409090909090909,0.8695652173913043,0.8095238095238095,0.8333333333333334,0.8695652173913043,0.851063829787234,0.6804979253112035
top3_classifiers_voting_models_17,17,0.9090909090909091,0.9130434782608695,0.9047619047619048,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8178053830227743
top3_classifiers_voting_models_18,18,0.8181818181818182,0.8260869565217391,0.8095238095238095,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.6356107660455488
top3_classifiers_voting_models_19,19,0.8409090909090909,1.0,0.6666666666666666,0.7666666666666667,1.0,0.8679245283018869,0.6764705882352942
top3_classifiers_voting_models_20,20,0.9090909090909091,0.9565217391304348,0.8571428571428571,0.88,0.9565217391304348,0.9166666666666666,0.8170478170478169
